Art,Species,Spec_short,Anzahl,Jahr,Dauer,Laenge,Material,Temp_mean_Fruehling,KWB_Fruehling,Temp_stab_Fruehling,Temp_mean_Fruehling_Vorj,Temp_mean_Herbst_Vorj,Temp_mean_Winter_Vorj,KWB_Fruehling_Vorj,KWB_Sommer_Vorj,KWB_Herbst_Vorj,KWB_Winter_Vorj,X,Y,lat,lon
Phantomkroete,Pseudoamphicus paradoxus,Papa,246,1989,mittel,307,Vliess,9.56731028052514,49.9726485117654,2.64592557007404,7.95167479326209,8.50998309594324,2.479937911522,67.211730968596,54.6848361220188,71.5089520385056,101.740901700684,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,77,1990,mittel,307,Vliess,9.31662323539965,49.3847970018649,2.45497673970238,9.56731028052514,9.60912369459477,3.10043169871651,49.9726485117654,88.4815771865225,80.3031327455825,47.3159504528715,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,315,1991,mittel,307,Vliess,7.47211104779818,52.8104261846442,5.12586434236286,9.31662323539965,8.84996009258174,3.06612360341689,49.3847970018649,85.770959207043,74.9760947552055,45.9243280439162,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,204,1992,mittel,100,Maibach,8.85817117931277,64.8581665530301,1.7463356023723,7.47211104779818,9.18930991939738,-0.172486865909087,52.8104261846442,84.3921697057096,39.509153590218,55.1376866484649,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,569,1993,kurz,100,Maibach,9.37105688512706,47.300912897996,1.56919750084024,8.85817117931277,8.17814750676638,1.35822429304505,64.8581665530301,122.407119677679,56.8179827619136,51.3941598016579,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,582,1994,kurz,100,Maibach,8.7377340296993,103.614011275277,2.63692437513979,9.37105688512706,6.51877510003867,1.35940035823338,47.300912897996,104.548587207621,55.1228330669432,94.8818981516912,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,2473,1995,kurz,100,Maibach,7.53856227547412,98.4071473159574,1.62922407849488,8.7377340296993,9.0106952301516,1.80378382327517,103.614011275277,80.6429825860212,49.654482888085,63.0781264232599,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,283,1996,kurz,100,Maibach,6.24725779520114,58.3680120948452,1.11009415412892,7.53856227547412,8.68150320233296,0.371577587702405,98.4071473159574,121.948883318195,98.7658910586852,74.2792040766788,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,390,1997,kurz,100,Maibach,7.58408051462986,71.3886090836172,1.69334210173507,6.24725779520114,7.94659819942845,-3.4332525753633,58.3680120948452,97.6706548103624,65.4679673569479,32.7425199887068,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,251,1999,kurz,100,Maibach,9.18045861409735,61.9773934145528,2.09193892734369,9.13621503257814,7.49591481216606,2.37761080383615,59.1151528919457,92.9493271788149,100.024955921618,51.0499149271075,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,1006,2000,kurz,100,Maibach,9.95363661080556,79.5296762956636,1.84233093823189,9.18045861409735,9.68941356590699,1.40382460044348,61.9773934145528,81.5612161082882,51.0308421643357,77.4013176413785,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,246,2001,kurz,90,Maibach,8.0782292425488,73.5947993617266,1.52659875617906,9.95363661080556,10.4035421984876,2.16521060726875,79.5296762956636,77.1723732377909,55.8751239679036,75.9797509590251,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,96,2002,mittel,100,Maibach,8.78761991831691,53.5337028820432,1.82347235002689,8.0782292425488,9.20977813485809,0.264826384261539,73.5947993617266,72.6148856465862,91.93059436465,74.2790760396686,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,719,2003,kurz,100,Maibach,9.14311146819142,46.0196305955311,1.81505815995114,8.78761991831691,8.64376144236944,1.5426264002268,53.5337028820432,147.835557061769,109.367182551088,62.5686198624032,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,4,2004,kurz,100,Maibach,8.11299716968302,78.8056090887599,2.13593406241682,9.14311146819142,8.82392353972526,-0.54243205989318,46.0196305955311,53.7610007140155,42.3161496377893,49.2346121453598,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,55,2005,kurz,150,Maibach,8.35725363022413,53.9216334823518,1.64317639093541,8.11299716968302,9.34506958071263,0.55328138974022,78.8056090887599,83.4641357634226,86.9987886220596,73.8294191408036,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,137,2006,kurz,150,Maibach,7.40623649134132,78.0836280426951,1.19606427543586,8.35725363022413,10.1683062954561,-0.013644208054783,53.9216334823518,123.661511451718,55.9059711808375,109.011198500563,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,171,2007,kurz,150,Maibach,10.7786556601005,59.4709161546169,2.52354540284138,7.40623649134132,12.2595344591979,-0.0861581816714929,78.0836280426951,88.0336685431419,61.4024459862241,61.8813746307472,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,767,2008,kurz,150,Maibach,8.57070992202446,78.2759001758465,1.61647149701584,10.7786556601005,7.80430088889296,3.23025789404465,59.4709161546169,107.058968932292,94.7877053705827,79.9224746947447,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,66,2009,kurz,150,Maibach,10.0808515509423,73.9869714292683,1.94540711934549,8.57070992202446,8.87188964507589,2.89924614594786,78.2759001758465,85.1926239373755,66.3534657600127,67.1638399180025,364427.524871168,5633241.38342775,50.8349863721971,13.0746794019337
Phantomkroete,Pseudoamphicus paradoxus,Papa,3079,2000,kurz,554,Metall,11.0019633156504,63.6860800850072,2.09402338495673,9.968935622074,10.4693062989108,2.31708933589805,56.4209085197264,70.7353914886457,40.5370360224111,60.7865295875622,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,978,2001,kurz,554,Metall,9.1099915024151,64.9142030615202,1.66115877301329,11.0019633156504,10.9704784283999,3.02399108589676,63.6860800850072,53.2247383351694,44.7115677639737,55.1780851616228,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,483,2002,kurz,554,Metall,9.69515886144379,50.5004931705039,1.98248939850968,9.1099915024151,10.0778696411592,1.09991789700262,64.9142030615202,90.4204366901279,82.0560031898266,53.0153385177992,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,544,2003,kurz,554,Metall,9.92399108589676,30.5220336905057,1.93034081338737,9.69515886144379,9.31394215396129,2.02644929908557,50.5004931705039,101.701278300697,75.6560965718979,53.879022151156,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,1512,2004,kurz,554,Metall,9.04898970362781,53.4274071730916,2.44123657133221,9.92399108589676,9.24957494263044,-0.00338551983090369,30.5220336905057,45.9460772300004,46.1482814623725,49.0828166918529,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,1155,2005,kurz,554,Metall,8.95704092999394,31.8037544697774,1.75408143588214,9.04898970362781,9.78171177088714,1.35411928408956,53.4274071730916,83.3947248419508,62.0800857534736,61.8400803154595,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,1747,2006,kurz,554,Metall,8.20790426395261,57.5458896276439,1.37188961937758,8.95704092999394,10.5814158686546,0.94123759728594,31.8037544697774,83.9875576913302,35.1399382495824,75.6645751841607,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,149,2007,kurz,554,Metall,11.1519680295617,61.6245023721648,2.64052609972038,8.20790426395261,12.6105943943568,0.414714936360228,57.5458896276439,68.3681961113774,47.9489280691969,40.5812930071014,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,1153,2008,kurz,554,Metall,9.29599968183236,62.8875787890896,1.81637374343313,11.1519680295617,8.43796844608009,3.91088521962876,61.6245023721648,94.6458818589935,78.2501704052934,55.1901599693763,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,497,2009,kurz,554,Metall,10.6764066863982,61.490097387938,2.18046992113887,9.29599968183236,9.38654558105017,3.51298492728374,62.8875787890896,67.1358830352776,54.5258943194188,51.8179891404431,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,267,2010,kurz,554,Metall,8.30732268914657,64.5529494167662,2.55173798913631,10.6764066863982,10.5740286984016,-0.42058768444868,61.490097387938,62.5550053447294,67.4390812591811,56.4772263765606,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,853,2011,kurz,554,Metall,10.4859260764199,27.7508551567268,2.17477568133288,8.30732268914657,8.73555323967618,-3.05274081569225,64.5529494167662,99.4794397689246,87.4628852171661,53.039127970147,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,1094,2012,kurz,554,Metall,10.6058844078625,27.5412544924754,2.58202033739991,10.4859260764199,10.0669187498117,1.95972332264713,27.7508551567268,109.807157113604,40.5551497543437,57.8909480842359,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
Phantomkroete,Pseudoamphicus paradoxus,Papa,1405,2013,kurz,554,Metall,6.95494380149127,75.2396997355346,0.958693170091481,10.6058844078625,9.84005823854698,0.22668336859013,27.5412544924754,89.9574320002914,44.0959464100702,73.1209540088183,341948.857595639,5676571.8163573,51.2186305623262,12.7368053524387
